42.470238,-75.064728,42.47023800,-75.06473317
42.470238,-75.064728,42.47023850,-75.06473333
42.470238,-75.064728,42.47023850,-75.06473250
42.470238,-75.064728,42.47023867,-75.06473217
42.470238,-75.064728,42.47023900,-75.06473167
42.470238,-75.064728,42.47023867,-75.06473133
42.470238,-75.064728,42.47023800,-75.06473050
42.470238,-75.064728,42.47023967,-75.06473450
42.470238,-75.064743,42.47024133,-75.06474917
42.470238,-75.064774,42.47023817,-75.06477200
42.470222,-75.064789,42.47022683,-75.06478483
42.470222,-75.064796,42.47022000,-75.06479533
42.470215,-75.064796,42.47021867,-75.06479833
42.470215,-75.064796,42.47021817,-75.06479967
42.470222,-75.064804,42.47022583,-75.06480183
42.470249,-75.064804,42.47025017,-75.06480817
42.470287,-75.064819,42.47028633,-75.06481733
42.470329,-75.064827,42.47032500,-75.06482733
42.470360,-75.064835,42.47035967,-75.06483167
42.470387,-75.064827,42.47038617,-75.06482533
42.470402,-75.064804,42.47040533,-75.06480750
42.470417,-75.064781,42.47041767,-75.06478150
42.470417,-75.064751,42.47042267,-75.06475383
42.470425,-75.064728,42.47042583,-75.06473283
42.470425,-75.064713,42.47042850,-75.06471167
